사업장명칭,사업장소재지,전화번호,데이터기준일자
365건강온누리약국,제주특별자치도 제주시 서광로 297,,2021-03-08
가까운약국,제주특별자치도 제주시 원노형남1길 11,064-745-6188,2021-03-08
가정온누리약국,제주특별자치도 제주시 우정로 57 ,064-711-5275,2021-03-08
건강드림약국,제주특별자치도 제주시 도령로 1,064-744-0369,2021-03-08
건강약국,제주특별자치도 제주시 구좌읍 세화12길 1,064-784-5040,2021-03-08
건강한약국,제주특별자치도 제주시 서사로 155 ,064-722-2004,2021-03-08
고승아약국,제주특별자치도 제주시 동광로 131 ,064-726-6988,2021-03-08
곰온누리약국,제주특별자치도 제주시 애월읍 하귀9길 2,,2021-03-08
광주약국,제주특별자치도 제주시 국기로 7,064-712-7116,2021-03-08
구좌약국,제주특별자치도 제주시 구좌읍 구좌로 40,064-782-8875,2021-03-08
굿모닝약국,제주특별자치도 제주시 연북로 40 ,064-711-8995,2021-03-08
나라약국,제주특별자치도 제주시 조천읍 신북로 523,064-782-3700,2021-03-08
낙산약국,제주특별자치도 제주시 도령로 87,064-744-2688,2021-03-08
남문약국,제주특별자치도 제주시 중앙로 132 ,064-751-9967,2021-03-08
노형온누리약국,제주특별자치도 제주시 월랑로 3 ,064-744-4880,2021-03-08
녹십자약국,제주특별자치도 제주시 한림읍 한림중앙로 4,064-796-9001,2021-03-08
뉴제주약국,제주특별자치도 제주시 연동8길 8 ,064-752-5244,2021-03-08
뉴제주프린스약국,제주특별자치도 제주시 삼무로 27 ,064-748-0093,2021-03-08
다정온누리약국,제주특별자치도 제주시 건주로 33,064-723-1923,2021-03-08
대동약국,제주특별자치도 제주시 애월읍 일주서로 6691,064-799-8808,2021-03-08
대원약국,제주특별자치도 제주시 동광로 122 ,064-727-1190,2021-03-08
대학약국,제주특별자치도 제주시 중앙로 611 ,064-722-3033,2021-03-08
대한약국,제주특별자치도 제주시 조천읍 조함해안로 488-6,064-784-3432,2021-03-08
더건강한약국,제주특별자치도 제주시 한라대학로 77-1 ,,2021-03-08
더블유스토어 이도약국,제주특별자치도 제주시 중앙로 366 ,,2021-03-08
더한빛약국,제주특별자치도 제주시 중앙로 380,064-901-0230,2021-03-08
둘셋약국,제주특별자치도 제주시 연삼로 395,064-722-3388,2021-03-08
로하스약국,제주특별자치도 제주시 일주동로 250 ,064-901-7298,2021-03-08
메디칼약국,제주특별자치도 제주시 고마로 149,064-726-2200,2021-03-08
메디팜감초당 약국,제주특별자치도 제주시 구좌읍 구좌로 42,064-783-2360,2021-03-08
민성약국,제주특별자치도 제주시 중앙로 543,064-722-1010,2021-03-08
밝은사랑약국,제주특별자치도 제주시 수덕로 41,064-744-9952,2021-03-08
별약국,제주특별자치도 제주시 건주로 27,064-723-0085,2021-03-08
부원약국,제주특별자치도 제주시 우정로8길 2,064-900-4338,2021-03-08
삼양온누리약국,제주특별자치도 제주시 일주동로 393,,2021-03-08
삼화사랑약국,제주특별자치도 제주시 건주로 43 ,,2021-03-08
새별약국,제주특별자치도 제주시 한림읍 동명북1길 11,064-796-7966,2021-03-08
새봄약국,제주특별자치도 제주시 1100로 3333 ,064-712-0086,2021-03-08
새우리약국,제주특별자치도 제주시 서사로 36 ,064-757-5149,2021-03-08
생생약국,제주특별자치도 제주시 원노형남1길 1 ,,2021-03-08
서사라튼튼약국,제주특별자치도 제주시 서사로 137 ,064-752-7365,2021-03-08
서사라튼튼약국,제주특별자치도 제주시 서사로 137,,2021-03-08
세원약국,제주특별자치도 제주시 월랑로 5 ,064-742-9090,2021-03-08
세화약국,제주특별자치도 제주시 구좌읍 세화10길 1,064-784-8442,2021-03-08
소망약국,제주특별자치도 제주시 동문로 76 ,064-702-8828,2021-03-08
수약국,제주특별자치도 제주시 동광로 124 ,064-759-0587,2021-03-08
숲약국,제주특별자치도 제주시 1100로 3213-27,,2021-03-08
시원한약국,제주특별자치도 제주시 화삼북로 68,064-257-8085,2021-03-08
신제주동물약국,제주특별자치도 제주시 월랑로 59 ,064-747-7227,2021-03-08
신창약국,제주특별자치도 제주시 한경면 두신로 75,064-772-3799,2021-03-08
신창약국,제주특별자치도 제주시 한경면 두신로 75,064-722-3699,2021-03-08
싱싱약국,제주특별자치도 제주시 노형로 386 ,064-711-7242,2021-03-08
알로하동물약국,제주특별자치도 제주시 우정로15길 1,,2021-03-08
에이스팜24시약국,제주특별자치도 제주시 신대로14길 56 ,064-711-5553,2021-03-08
연동타운약국,제주특별자치도 제주시 연북로 38 ,064-747-7702,2021-03-08
연세익약국,제주특별자치도 제주시 중앙로 175,,2021-03-08
열린약국,제주특별자치도 제주시 월랑로10길 34 ,064-748-1551,2021-03-08
영제동물약국,제주특별자치도 제주시 노형로 397,064-726-3090,2021-03-08
오케이약국,제주특별자치도 제주시 승천로 74 ,064-723-6690,2021-03-08
용담온누리약국,제주특별자치도 제주시 용담로 46 ,064-712-0259,2021-03-08
월마트약국,제주특별자치도 제주시 일주동로 229 ,064-723-4947,2021-03-08
유명약국,제주특별자치도 제주시 용문로 163 ,064-711-4587,2021-03-08
유성약국,제주특별자치도 제주시 도령로 5 ,064-744-5477,2021-03-08
으뜸약국,제주특별자치도 제주시 노형로 376,064-749-0003,2021-03-08
은우약국,제주특별자치도 제주시 1100로 3283 ,064-748-7542,2021-03-08
인화온누리약국,제주특별자치도 제주시 동광로 110 ,064-724-7272,2021-03-08
자연동물약국,제주특별자치도 제주시 노연로 90 ,064-712-1596,2021-03-08
정약국,제주특별자치도 제주시 수덕1길 3,064-713-0033,2021-03-08
정존약국,제주특별자치도 제주시 고사마루길 2,064-742-2378,2021-03-08
제주동물약국,제주특별자치도 제주시 조천읍 신북로 46,064-782-7587,2021-03-08
제주약국,제주특별자치도 제주시 성신로 13-8,064-713-8575,2021-03-08
참약국,제주특별자치도 제주시 서광로 294,064-753-6541,2021-03-08
청사약국,제주특별자치도 제주시 중앙로 234 ,,2021-03-08
최약국,제주특별자치도 제주시 연삼로 548,064-755-3566,2021-03-08
큰곰동물약국,제주특별자치도 제주시 수덕로 41 ,064-744-9952,2021-03-08
킴스동물약국,제주특별자치도 제주시 중앙로 552,064-723-3507,2021-03-08
탑동솔약국,제주특별자치도 제주시 관덕로11길 27-1 ,064-900-1708,2021-03-08
하귀하나로약국,제주특별자치도 제주시 애월읍 일주서로 7136,064-742-8434,2021-03-08
하나약국,제주특별자치도 제주시 연북로 99 ,064-748-2800,2021-03-08
하나약국,제주특별자치도 제주시 연북로 99,064-748-2800,2021-03-08
한라약국,제주특별자치도 제주시 월랑로 33,064-712-7364,2021-03-08
한림약국,제주특별자치도 제주시 한림읍 한림로 679,064-796-7309,2021-03-08
함덕하나로약국,제주특별자치도 제주시 조천읍 함와로 40,064-784-8434,2021-03-08
해모로약국,제주특별자치도 제주시 연삼로 305,064-901-7378,2021-03-08
햇님약국,제주특별자치도 제주시 중앙로 560 ,064-726-1923,2021-03-08
현대약국,제주특별자치도 제주시 중앙로 177 ,064-755-1708,2021-03-08
홍익한약국,제주특별자치도 제주시 노연로 87,,2021-03-08
화북약국,제주특별자치도 제주시 일주동로 199 ,064-756-1428,2021-03-08
힐링약국,제주특별자치도 제주시 서광로 278,064-702-2332,2021-03-08
힘찬약국,제주특별자치도 제주시 우정로15길 1 ,,2021-03-08
