제조업체명,사료종류,성분등록번호,사료명,사료성분명,사료성분량,데이터기준일자
주식회사 글리칸코드(제2공장),단미사료 (동물성-단백질류),PP6EP0002,육포1,조지방,30% 이하,2019-11-25
주식회사 글리칸코드(제2공장),단미사료 (동물성-단백질류),PP6EP0002,육포1,조단백질,50% 이상,2019-11-25
주식회사 글리칸코드(제2공장),단미사료 (동물성-단백질류),PP6EP0002,육포1,수분,20% 이하,2019-11-25
주식회사 글리칸코드(제2공장),단미사료 (동물성-단백질류),PP6EP0002,육포1,조회분,2% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40003,육골포1,조지방,37.5% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40003,육골포1,조단백질,32.9% 이상,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40003,육골포1,수분,34.3% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40003,육골포1,조회분,22.1% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40008,건어포1,조지방,16.3% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40008,건어포1,조단백질,40.1% 이상,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40008,건어포1,수분,42.1% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40008,건어포1,조회분,3.5% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40009,육포1,조지방,3.5% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40009,육포1,조단백질,51.9% 이상,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40009,육포1,수분,39.6% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40009,육포1,조회분,4.5% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50001,혼합성단미사료1,조지방,7.2% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50001,혼합성단미사료1,조단백질,9.5% 이상,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50001,혼합성단미사료1,수분,68.5% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50001,혼합성단미사료1,조섬유,0.2% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50001,혼합성단미사료1,조회분,3.8% 이하,2019-11-25
로빈,단미사료 (동물성-단백질류),PP6F70001,육포1,조지방,1.5% 이하,2019-11-25
로빈,단미사료 (동물성-단백질류),PP6F70001,육포1,조단백질,55% 이상,2019-11-25
로빈,단미사료 (동물성-단백질류),PP6F70001,육포1,수분,30% 이하,2019-11-25
로빈,단미사료 (동물성-단백질류),PP6F70001,육포1,조회분,5% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0001,육포1,조지방,3.1% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0001,육포1,조단백질,56.8% 이상,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0001,육포1,수분,26.0% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0001,육포1,조회분,5.4% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0006,육골포1,조지방,30.3% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0006,육골포1,조단백질,31.9% 이상,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0006,육골포1,수분,24.7% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0006,육골포1,조회분,19.0% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0013,건어포1,조지방,14.8% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0013,건어포1,조단백질,32.5% 이상,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0013,건어포1,수분,49.8% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0013,건어포1,조회분,4.5% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50010,혼합성단미사료10,조지방,8.5% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50010,혼합성단미사료10,조단백질,17.0% 이상,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50010,혼합성단미사료10,수분,57.7% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50010,혼합성단미사료10,조섬유,1.9% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50010,혼합성단미사료10,조회분,1.8% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50011,혼합성단미사료11,조지방,2.0% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50011,혼합성단미사료11,조단백질,14.0% 이상,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50011,혼합성단미사료11,수분,59.1% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50011,혼합성단미사료11,조섬유,2.4% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50011,혼합성단미사료11,조회분,1.6% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50012,혼합성단미사료12,조지방,11.9% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50012,혼합성단미사료12,조단백질,45.1% 이상,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50012,혼합성단미사료12,수분,43.3% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50012,혼합성단미사료12,조회분,2.5% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50013,혼합성단미사료13,조지방,7.4% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50013,혼합성단미사료13,조단백질,32.5% 이상,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50013,혼합성단미사료13,수분,53.1% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50013,혼합성단미사료13,조회분,12.0% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50014,혼합성단미사료14,조지방,4.1% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50014,혼합성단미사료14,조단백질,46.9% 이상,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50014,혼합성단미사료14,수분,42.4% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50014,혼합성단미사료14,조회분,9.5% 이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (혼합성-혼합제),PP6DD0002,혼합성단미사료2,조지방,15%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (혼합성-혼합제),PP6DD0002,혼합성단미사료2,조단백질,25%이상,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (혼합성-혼합제),PP6DD0002,혼합성단미사료2,수분,8%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (혼합성-혼합제),PP6DD0002,혼합성단미사료2,조섬유,5%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (혼합성-혼합제),PP6DD0002,혼합성단미사료2,조회분,3.6%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (혼합성-혼합제),PP6DD0002,혼합성단미사료2,펩신소화율,72%이상,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40001,육포2,조지방,5.6% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40001,육포2,조단백질,57.6% 이상,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40001,육포2,수분,32.9% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40001,육포2,조회분,5.6% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40004,육골포2,조지방,4.5% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40004,육골포2,조단백질,54.8% 이상,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40004,육골포2,수분,30.3% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40004,육골포2,조회분,6.4% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50002,혼합성단미사료2,조지방,8.7% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50002,혼합성단미사료2,조단백질,9.2% 이상,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50002,혼합성단미사료2,수분,68.6% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50002,혼합성단미사료2,조섬유,0.4% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50002,혼합성단미사료2,조회분,4.0% 이하,2019-11-25
로빈,단미사료 (동물성-단백질류),PP6F70002,육포2,조지방,3.7% 이하,2019-11-25
로빈,단미사료 (동물성-단백질류),PP6F70002,육포2,조단백질,45.0% 이상,2019-11-25
로빈,단미사료 (동물성-단백질류),PP6F70002,육포2,수분,36.0% 이하,2019-11-25
로빈,단미사료 (동물성-단백질류),PP6F70002,육포2,조회분,3.4% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0002,육포2,조지방,3.8% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0002,육포2,조단백질,56.9% 이상,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0002,육포2,수분,24.9% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0002,육포2,조회분,3.6% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0007,육골포2,조지방,5.0% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0007,육골포2,조단백질,45.8% 이상,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0007,육골포2,수분,17.2% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0007,육골포2,조회분,25.5% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0014,건어포2,조지방,3.0%이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0014,건어포2,조단백질,41.0% 이상,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0014,건어포2,수분,47.5% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0014,건어포2,조회분,2.0% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40002,육포3,조지방,7.8% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40002,육포3,조단백질,38.1% 이상,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40002,육포3,수분,39.1% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40002,육포3,조회분,9.0% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40005,육골포3,조지방,6.7% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40005,육골포3,조단백질,34.9% 이상,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40005,육골포3,수분,57.4% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40005,육골포3,조회분,14.1% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50003,혼합성단미사료3,조지방,10.0% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50003,혼합성단미사료3,조단백질,9.2% 이상,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50003,혼합성단미사료3,수분,70.8% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50003,혼합성단미사료3,조섬유,0.1% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50003,혼합성단미사료3,조회분,3.8% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0003,육포3,조지방,2.2% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0003,육포3,조단백질,57.1% 이상,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0003,육포3,수분,26.2% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0003,육포3,조회분,3.2% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0008,육골포3,조지방,19.6% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0008,육골포3,조단백질,32.5% 이상,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0008,육골포3,수분,21.0% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0008,육골포3,조회분,21.8% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40006,육골포4,조지방,35.1% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40006,육골포4,조단백질,25.4% 이상,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40006,육골포4,수분,25.8% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40006,육골포4,조회분,26.8% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40010,육포4,조지방,8.9% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40010,육포4,조단백질,49.5% 이상,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40010,육포4,수분,38.3% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40010,육포4,조회분,4.0% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50004,혼합성단미사료4,조지방,8.6% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50004,혼합성단미사료4,조단백질,13.1% 이상,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50004,혼합성단미사료4,수분,47.2% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50004,혼합성단미사료4,조섬유,0.6% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50004,혼합성단미사료4,조회분,5.2% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0004,육포4,조지방,6.3% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0004,육포4,조단백질,38.6% 이상,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0004,육포4,수분,30.6% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0004,육포4,조회분,4.3% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0009,육골포4,조지방,5.0% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0009,육골포4,조단백질,41.0% 이상,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0009,육골포4,수분,23.2% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0009,육골포4,조회분,27.5% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40007,육골포5,조지방,7.2% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40007,육골포5,조단백질,35.2% 이상,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40007,육골포5,수분,41.8% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40007,육골포5,조회분,16.5% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50005,혼합성단미사료5,조지방,5.7% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50005,혼합성단미사료5,조단백질,17.4% 이상,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50005,혼합성단미사료5,수분,86.7% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50005,혼합성단미사료5,조섬유,0.6% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50005,혼합성단미사료5,조회분,2.3% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0005,육포5,조지방,20.5% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0005,육포5,조단백질,39.8% 이상,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0005,육포5,수분,28.2% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0005,육포5,조회분,1.2% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0010,육골포5,조지방,5.0% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0010,육골포5,조단백질,47.8% 이상,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0010,육골포5,수분,25.9% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0010,육골포5,조회분,18.4% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40011,육골포6,조지방,29.6% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40011,육골포6,조단백질,32.3% 이상,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40011,육골포6,수분,14.6% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40011,육골포6,조회분,22.0% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50006,혼합성단미사료6,조지방,1.5% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50006,혼합성단미사료6,조단백질,16.1% 이상,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50006,혼합성단미사료6,수분,92.0% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50006,혼합성단미사료6,조섬유,0.4% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50006,혼합성단미사료6,조회분,1.0% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0011,육골포6,조지방,7.9% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0011,육골포6,조단백질,39.6% 이상,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0011,육골포6,수분,15.1% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0011,육골포6,조회분,5.9% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50007,혼합성단미사료7,조지방,6.4% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50007,혼합성단미사료7,조단백질,18.0% 이상,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50007,혼합성단미사료7,수분,84.7% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50007,혼합성단미사료7,조섬유,0.3% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50007,혼합성단미사료7,조회분,1.9% 이하,2019-11-25
